INFO:root:[2023-10-14 13:23:29] Error: Usage: Python ProcInfo2.py <process_name>
INFO:root:[2023-10-14 13:26:37] Error: get_process_info() takes 0 positional arguments but 1 was given
INFO:root:Name:System Idle Process, PID: 0, Username:NT AUTHORITY\SYSTEM
INFO:root:Name:System, PID: 4, Username:NT AUTHORITY\SYSTEM
INFO:root:Name:Registry, PID: 240, Username:None
INFO:root:Name:chrome.exe, PID: 620, Username:ADPROD\khiray
INFO:root:Name:svchost.exe, PID: 692, Username:None
INFO:root:Name:smss.exe, PID: 884, Username:None
INFO:root:Name:Dell.TechHub.Diagnostics.SubAgent.exe, PID: 928, Username:None
INFO:root:Name:svchost.exe, PID: 964, Username:None
INFO:root:Name:svchost.exe, PID: 980, Username:None
INFO:root:Name:svchost.exe, PID: 1132, Username:None
INFO:root:Name:csrss.exe, PID: 1164, Username:None
INFO:root:Name:wininit.exe, PID: 1268, Username:None
INFO:root:Name:csrss.exe, PID: 1276, Username:None
INFO:root:Name:services.exe, PID: 1340, Username:None
INFO:root:Name:lsass.exe, PID: 1348, Username:None
INFO:root:Name:svchost.exe, PID: 1380, Username:None
INFO:root:Name:svchost.exe, PID: 1436, Username:None
INFO:root:Name:svchost.exe, PID: 1488, Username:None
INFO:root:Name:WUDFHost.exe, PID: 1500, Username:None
INFO:root:Name:fontdrvhost.exe, PID: 1564, Username:None
INFO:root:Name:MfeFfCore.exe, PID: 1576, Username:ADPROD\khiray
INFO:root:Name:svchost.exe, PID: 1632, Username:None
INFO:root:Name:winlogon.exe, PID: 1700, Username:None
INFO:root:Name:svchost.exe, PID: 1772, Username:None
INFO:root:Name:fontdrvhost.exe, PID: 1812, Username:None
INFO:root:Name:dwm.exe, PID: 1920, Username:None
INFO:root:Name:svchost.exe, PID: 2104, Username:None
INFO:root:Name:svchost.exe, PID: 2112, Username:None
INFO:root:Name:svchost.exe, PID: 2152, Username:None
INFO:root:Name:svchost.exe, PID: 2160, Username:None
INFO:root:Name:chrome.exe, PID: 2172, Username:ADPROD\khiray
INFO:root:Name:svchost.exe, PID: 2216, Username:None
INFO:root:Name:svchost.exe, PID: 2260, Username:None
INFO:root:Name:svchost.exe, PID: 2268, Username:None
INFO:root:Name:svchost.exe, PID: 2276, Username:None
INFO:root:Name:svchost.exe, PID: 2288, Username:None
INFO:root:Name:svchost.exe, PID: 2308, Username:None
INFO:root:Name:Dell.TechHub.Instrumentation.UserProcess.exe, PID: 2488, Username:None
INFO:root:Name:IntelCpHDCPSvc.exe, PID: 2524, Username:None
INFO:root:Name:svchost.exe, PID: 2556, Username:None
INFO:root:Name:svchost.exe, PID: 2572, Username:None
INFO:root:Name:svchost.exe, PID: 2616, Username:None
INFO:root:Name:svchost.exe, PID: 2692, Username:None
INFO:root:Name:svchost.exe, PID: 2700, Username:None
INFO:root:Name:svchost.exe, PID: 2728, Username:None
INFO:root:Name:StartMenuExperienceHost.exe, PID: 2772, Username:ADPROD\khiray
INFO:root:Name:spoolsv.exe, PID: 2888, Username:None
INFO:root:Name:NVDisplay.Container.exe, PID: 2972, Username:None
INFO:root:Name:svchost.exe, PID: 3136, Username:None
INFO:root:Name:CSFalconContainer.exe, PID: 3276, Username:None
INFO:root:Name:NVDisplay.Container.exe, PID: 3328, Username:None
INFO:root:Name:svchost.exe, PID: 3392, Username:None
INFO:root:Name:svchost.exe, PID: 3440, Username:None
INFO:root:Name:svchost.exe, PID: 3444, Username:None
INFO:root:Name:svchost.exe, PID: 3456, Username:None
INFO:root:Name:Dell.TechHub.Analytics.SubAgent.exe, PID: 3532, Username:None
INFO:root:Name:uhssvc.exe, PID: 3536, Username:None
