--------------------------------------------------------------------------------
Marvellous Infosystem Process Logger: Mon Oct  9 12:58:14 2023
--------------------------------------------------------------------------------

{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process', 'vms': 0.05859375}
{'pid': 4, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System', 'vms': 0.06640625}
{'pid': 8, 'username': None, 'name': 'svchost.exe', 'vms': 2.71484375}
{'pid': 240, 'username': None, 'name': 'Registry', 'vms': 2.77734375}
{'pid': 852, 'username': None, 'name': 'ciscod.exe', 'vms': 2.5859375}
{'pid': 856, 'username': None, 'name': 'Dell.TechHub.DataManager.SubAgent.exe', 'vms': 77.3984375}
{'pid': 892, 'username': None, 'name': 'smss.exe', 'vms': 1.0859375}
{'pid': 988, 'username': None, 'name': 'svchost.exe', 'vms': 8.25390625}
{'pid': 992, 'username': None, 'name': 'Dell.Remediation.Agent.exe', 'vms': 82.53125}
{'pid': 1128, 'username': None, 'name': 'svchost.exe', 'vms': 4.00390625}
{'pid': 1152, 'username': 'ADPROD\\khiray', 'name': 'svchost.exe', 'vms': 3.30859375}
{'pid': 1180, 'username': None, 'name': 'csrss.exe', 'vms': 2.3515625}
{'pid': 1276, 'username': None, 'name': 'wininit.exe', 'vms': 1.39453125}
{'pid': 1292, 'username': None, 'name': 'csrss.exe', 'vms': 3.015625}
{'pid': 1352, 'username': None, 'name': 'svchost.exe', 'vms': 2.4296875}
{'pid': 1356, 'username': None, 'name': 'services.exe', 'vms': 6.8203125}
{'pid': 1372, 'username': None, 'name': 'lsass.exe', 'vms': 10.4921875}
{'pid': 1432, 'username': None, 'name': 'svchost.exe', 'vms': 2.375}
{'pid': 1436, 'username': None, 'name': 'svchost.exe', 'vms': 1.875}
{'pid': 1468, 'username': None, 'name': 'Dell.TechHub.Instrumentation.UserProcess.exe', 'vms': 51.30859375}
{'pid': 1500, 'username': None, 'name': 'svchost.exe', 'vms': 12.43359375}
{'pid': 1508, 'username': 'ADPROD\\khiray', 'name': 'msedgewebview2.exe', 'vms': 20.43359375}
{'pid': 1532, 'username': None, 'name': 'WUDFHost.exe', 'vms': 12.828125}
{'pid': 1540, 'username': None, 'name': 'fontdrvhost.exe', 'vms': 1.55078125}
{'pid': 1644, 'username': None, 'name': 'svchost.exe', 'vms': 10.5703125}
{'pid': 1700, 'username': None, 'name': 'svchost.exe', 'vms': 3.9375}
{'pid': 1756, 'username': None, 'name': 'winlogon.exe', 'vms': 2.60546875}
{'pid': 1828, 'username': None, 'name': 'fontdrvhost.exe', 'vms': 5.625}
{'pid': 1840, 'username': None, 'name': 'WUDFHost.exe', 'vms': 10.4296875}
{'pid': 1976, 'username': None, 'name': 'dwm.exe', 'vms': 225.0078125}
{'pid': 2008, 'username': 'ADPROD\\khiray', 'name': 'chrome.exe', 'vms': 59.08203125}
{'pid': 2028, 'username': None, 'name': 'svchost.exe', 'vms': 5.44921875}
{'pid': 2104, 'username': None, 'name': 'svchost.exe', 'vms': 3.5546875}
{'pid': 2112, 'username': None, 'name': 'svchost.exe', 'vms': 2.2734375}
{'pid': 2120, 'username': None, 'name': 'svchost.exe', 'vms': 5.84375}
{'pid': 2152, 'username': None, 'name': 'DellAWESvc.exe', 'vms': 17.4453125}
{'pid': 2164, 'username': None, 'name': 'svchost.exe', 'vms': 3.8828125}
{'pid': 2180, 'username': None, 'name': 'svchost.exe', 'vms': 3.6640625}
{'pid': 2204, 'username': None, 'name': 'svchost.exe', 'vms': 2.7578125}
{'pid': 2236, 'username': None, 'name': 'svchost.exe', 'vms': 3.08984375}
{'pid': 2244, 'username': None, 'name': 'svchost.exe', 'vms': 2.7734375}
{'pid': 2276, 'username': None, 'name': 'dasHost.exe', 'vms': 5.72265625}
{'pid': 2296, 'username': 'ADPROD\\khiray', 'name': 'fcag.exe', 'vms': 122.5859375}
{'pid': 2388, 'username': None, 'name': 'svchost.exe', 'vms': 6.28515625}
{'pid': 2476, 'username': None, 'name': 'svchost.exe', 'vms': 1.84375}
{'pid': 2484, 'username': None, 'name': 'svchost.exe', 'vms': 3.95703125}
{'pid': 2492, 'username': None, 'name': 'MemCompression', 'vms': 1.828125}
{'pid': 2504, 'username': None, 'name': 'IntelCpHDCPSvc.exe', 'vms': 1.421875}
{'pid': 2528, 'username': None, 'name': 'svchost.exe', 'vms': 3.12890625}
{'pid': 2564, 'username': None, 'name': 'svchost.exe', 'vms': 3.671875}
{'pid': 2576, 'username': None, 'name': 'svchost.exe', 'vms': 24.74609375}
{'pid': 2612, 'username': None, 'name': 'svchost.exe', 'vms': 1.8828125}
{'pid': 2684, 'username': None, 'name': 'svchost.exe', 'vms': 5.015625}
{'pid': 2700, 'username': None, 'name': 'svchost.exe', 'vms': 6.328125}
{'pid': 2876, 'username': None, 'name': 'svchost.exe', 'vms': 2.26953125}
{'pid': 3064, 'username': None, 'name': 'svchost.exe', 'vms': 2.31640625}
{'pid': 3124, 'username': None, 'name': 'CSFalconContainer.exe', 'vms': 106.63671875}
{'pid': 3148, 'username': None, 'name': 'WmiPrvSE.exe', 'vms': 3.4375}
{'pid': 3164, 'username': None, 'name': 'wa_3rd_party_host_32.exe', 'vms': 88.58984375}
{'pid': 3188, 'username': 'ADPROD\\khiray', 'name': 'Code.exe', 'vms': 61.59375}
{'pid': 3316, 'username': None, 'name': 'svchost.exe', 'vms': 11.203125}
{'pid': 3380, 'username': 'ADPROD\\khiray', 'name': 'dptf_helper.exe', 'vms': 1.84375}
{'pid': 3520, 'username': None, 'name': 'svchost.exe', 'vms': 2.58984375}
{'pid': 3540, 'username': None, 'name': 'svchost.exe', 'vms': 1.59375}
{'pid': 3556, 'username': None, 'name': 'svchost.exe', 'vms': 1.72265625}
{'pid': 3568, 'username': None, 'name': 'conhost.exe', 'vms': 5.54296875}
{'pid': 3608, 'username': 'ADPROD\\khiray', 'name': 'pwsh.exe', 'vms': 37.08203125}
{'pid': 3624, 'username': None, 'name': 'ServiceShell.exe', 'vms': 60.37109375}
